WORKSTREAM GENERATED ON:,DATE at TIME: 12/10/25  6:10am PST,,,,,,,,,,,,,,,,,,,,,,
001Pf00000Ur1ZWIAZ,Southern New Hampshire Education Center,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,net 15 - oldest past due invoice is < 40 days old ,Send PENDING notice,"in 7 days, oldest invoice is > 40 days old - will send pend notice.",,Send PENDING notice,Pass,Aligned to send pending notice today effective on 12/22 BUT make sure to seek approval from the Steven Segel first.,Pass,,,,,,
0015w000029XiwkAAC,Gillette Nursing Home,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Net 15. 3 past due 2 near due. HCF was reminded last week of their past due invoices. So far, this HCF pays weekly. ",Send PENDING notice,"If no payment comes in before end of day, will send pend notice for 12/22 enactment given the number of invoices past due.",,Send PENDING notice,Pass,Aligned to send pend notice today for strict implementation on 12/22.,Pass,,,,,,
001Pf00000PwMWTIA3,"Unicare Hospice, Inc",,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,NET15. Oldest invoice without P2P is 23 days old,Keep enrolled,Most past due invoices have P2Ps and the expected date is on 12/06. I will continue to remind the agency to process the payment for the remaining past due invoices.,,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000ESq6zIAD,St. Nicholas Of Tolentine School,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,No past due invoices ,Keep enrolled,No past due invoices ,,Keep enrolled,Pass,Account is current. Aligned to keep active.,Pass,,,,,,
0015w00002rlXYKAA2,Maiden Lane Medical PLLC,,,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Acc is on Net 15, oldest invoice is less than 40 days old",SEND Pending Notice,12/15 Sent pend notice and chase for payment,,Send PENDING notice,Pass,Aligned,Pass,,,,,,
0015w000029XihgAAC,Fountain Springs Nursing At Cape May,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net 15. 3 past due 1 near due. Contacted HCF last week about their past due invoices. ,Send PENDING notice,Send pend notice for 12/22 enactment as oldest invoice is about to go 40+ days old next week. ,,Send PENDING notice,Pass,Aligned to send pend notice today for strict implementation on 12/22.,Pass,,,,,,
0015w00002iotJLAAY,Haven Care - Cottonwood House,,Very Bad Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,"We will keep them Enrolled. We are managing a critical escalation, and the CEO Tim  is upset because a CBH worker’s actions led to two tenants leaving Birch HCF and a potential negligence lawsuit. ZD Ticket #16665241, Urgent: Cassidy Thomas Incident – Required Action and Documentation.

As of 12/12 Matt confirmed we can proceed with collection as normal.  If they sign the release and are entitled to a credit, we can apply the credit after they sign. We'll removed the invoices covered by Oct 13, total past due $2,775.04  in my outreach which was discussed covered in the offer here, and here.  

As of 12/8 Consulted TL Shella, if we can proceed with intervention. She advised that we wait for Carlos’ response before moving forward, as we want to avoid creating any additional friction with Tim. Slacked Carlos on release of liability receipt progress. 

As of 12/1 Matt's refer me to wait for Carlos, but no update if release of liability is received. Given the Prev - week's Thanksgiving, I planned to follow-up the following week. 

As of 11/24 Matt's advised we can proceed with billing as normal. Will initiate contact this week, just need to check first with Carlos, if he received the release of liability so we are align with the approach. Slack. Next action will depend on Tims response, we will consult managers, and Matt if we are ok to push with hold action, due to the sensitivity of the escalation. 

As of 11/24 Matt: @Sun We can proceed with billing as normal today for Haven.  Let's wait for @Carlos C to confirm that he didn't receive the liability release over the weekend.  That won't change whether we should proceed with billing.  It would only change the amount.
@Carlos C Can you confirm that when it's less disgustingly early on the West Coast?
Matt: We've given them plenty of time.  Unless anyone disagrees, I think we can proceed with billing as normal.  That doesn't prevent further discussion.  It just makes clear that we cannot extend deadlines indefinitely.

As of  11/10: Matt: Haven followed up with Carlos late last week asking for us to provide some records to the nursing house surveyor's office in NM.  I should be able to send that this week (the surveyor reached out to Clipboard separately); the holdup currently is a discrepancy between in-app and in-metabase record.
Once I've submitted that, @Carlos C will let Tim know that we need the release back within 5 business days, or we need to lift all holds on billings.  I know that this has moved slowly at times, and I appreciate your patience.  My read is that we continue to better off with Haven not feeling a ton of urgency from us.  I don't want Haven to misinterpret urgency for fear.  I think they're more likely to sign if they don't think we're overly concerned.

As of 11/3: Matt: @Carlos C has/will send Tim our responses to their requests.  Some of them we could accommodate; others not.  Hopefully, we'll have an answer this week, but that's likely going to depend upon how quickly Haven responds.

As of 10/24  @Matt Orlins waiting for Carlos C meeting with Tim for liability release? Then we can decide on CN for compensation.  HOLD Pending action for now due to T&S incident, slack. irate cx.

SMALL AR. Matt Orlins, advised on Tuesday, 10/7, They've reviewed the letter.  @Mike Bryan responded last week, acknowledging receipt and sharing that we would get back to them after we had a chance to review it.  The letter itself asks for documentation by October 10, so we're still a few days ahead of that. Their contention that Clipboard is responsible for their losses is questionable for several reasons.  To the extent that we want to help them, we probably ought to frame it as providing good customer service rather than acknowledging (legal) responsibility here. @Carlos C is going to reach out to the facility.  Until he does, I would avoid offering the facility credit for any other shifts.  I'd probably stick to extensions.  That will give Carlos a little more to play with on the call in terms of potential resolutions.

NET30
4 Past Due $1,411.72
Oldest Invoice from invoiced date: 112 days old. 
FBS/FPS:0

Historically: 
Extension to considering strong intent to pay, Tim responded in  SF01773123, Past due invoices are approved for payment just waiting funding, he is agreed for Pend action if still no payment by extension date. 
Oldest Invoice from invoiced date: 112 days old. Got a dispute - CNA to Crgvr rate ",KEEP ENROLLED,"We will keep them Enrolled. We are managing a critical escalation, and the CEO Tim  is upset because a CBH worker’s actions led to two tenants leaving Birch HCF and a potential negligence lawsuit. ZD Ticket #16665241, Urgent: Cassidy Thomas Incident – Required Action and Documentation.

As of 12/12 Matt confirmed we can proceed with collection as normal.  If they sign the release and are entitled to a credit, we can apply the credit after they sign. We'll removed the invoices covered by Oct 13, total past due $2,775.04  in my outreach which was discussed covered in the offer here, and here.  

As of 12/8 Consulted TL Shella, if we can proceed with intervention. She advised that we wait for Carlos’ response before moving forward, as we want to avoid creating any additional friction with Tim. Slacked Carlos on release of liability receipt progress. 

As of 12/1 Matt's refer me to wait for Carlos, but no update if release of liability is received. Given the Prev - week's Thanksgiving, I planned to follow-up the following week. 

As of 11/24 Matt's advised we can proceed with billing as normal. Will initiate contact this week, just need to check first with Carlos, if he received the release of liability so we are align with the approach. Slack. Next action will depend on Tims response, we will consult managers, and Matt if we are ok to push with hold action, due to the sensitivity of the escalation. 

As of 11/24 Matt: @Sun We can proceed with billing as normal today for Haven.  Let's wait for @Carlos C to confirm that he didn't receive the liability release over the weekend.  That won't change whether we should proceed with billing.  It would only change the amount.
@Carlos C Can you confirm that when it's less disgustingly early on the West Coast?
Matt: We've given them plenty of time.  Unless anyone disagrees, I think we can proceed with billing as normal.  That doesn't prevent further discussion.  It just makes clear that we cannot extend deadlines indefinitely.

As of  11/10: Matt: Haven followed up with Carlos late last week asking for us to provide some records to the nursing house surveyor's office in NM.  I should be able to send that this week (the surveyor reached out to Clipboard separately); the holdup currently is a discrepancy between in-app and in-metabase record.
Once I've submitted that, @Carlos C will let Tim know that we need the release back within 5 business days, or we need to lift all holds on billings.  I know that this has moved slowly at times, and I appreciate your patience.  My read is that we continue to better off with Haven not feeling a ton of urgency from us.  I don't want Haven to misinterpret urgency for fear.  I think they're more likely to sign if they don't think we're overly concerned.

As of 11/3: Matt: @Carlos C has/will send Tim our responses to their requests.  Some of them we could accommodate; others not.  Hopefully, we'll have an answer this week, but that's likely going to depend upon how quickly Haven responds.

As of 10/24  @Matt Orlins waiting for Carlos C meeting with Tim for liability release? Then we can decide on CN for compensation.  HOLD Pending action for now due to T&S incident, slack. irate cx.

SMALL AR. Matt Orlins, advised on Tuesday, 10/7, They've reviewed the letter.  @Mike Bryan responded last week, acknowledging receipt and sharing that we would get back to them after we had a chance to review it.  The letter itself asks for documentation by October 10, so we're still a few days ahead of that. Their contention that Clipboard is responsible for their losses is questionable for several reasons.  To the extent that we want to help them, we probably ought to frame it as providing good customer service rather than acknowledging (legal) responsibility here. @Carlos C is going to reach out to the facility.  Until he does, I would avoid offering the facility credit for any other shifts.  I'd probably stick to extensions.  That will give Carlos a little more to play with on the call in terms of potential resolutions.

NET30
4 Past Due $1,411.72
Oldest Invoice from invoiced date: 112 days old. 
FBS/FPS:0

Historically: 
Extension to considering strong intent to pay, Tim responded in  SF01773123, Past due invoices are approved for payment just waiting funding, he is agreed for Pend action if still no payment by extension date. 
Oldest Invoice from invoiced date: 112 days old. Got a dispute - CNA to Crgvr rate ",,Working with AM,Pass,Keep monitoring,Fail,,,,,,
001Pf00000YOzDIIA1,"Child First Academy - Lincoln Park, Chicago Location",,Bad Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,NET1. Oldest invoice is 34 days old,Working with AM,Tyler did not agree to send a pending notice last week (here). We still haven't receive a payment from the center despite of providing payment extension. I will let Tyler know that the account is at risk of pending status on 12/22.,,Working with AM,Pass,Continue coordinating with Tyler for approval and alignment,Pass,,,,,,
0015w00002TB6h1AAD,Landmark Of Desoto,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"The account is on Net 15 terms and has two past-due invoices with P2P. The oldest invoice is 27 days old, and the second invoice was due on 12/9 and is now 20 days old. ",Keep enrolled,Keep enrolled. No invoice is >40days old by next week. ,,Keep enrolled,Pass,"NET15, oldest inv is <40 days.",Pass,,,,,,
0015w00002G591pAAB,Pleasant Meadows Senior Living,,Ok Payer,,,TRUE,–,Facility has/had a high total balance — What does their weekly usage look like? Is it a concern?,,"12/15- Last 12/8 Catherine AE reached out to Charlie and mentioned to him about the Credit that Abe and Charlie discussed way back regarding the Extra Time Pay that was charged and tHCF were not aware, on 12/10 Charlie reached out to Abe and informed him that we will credit them $3,467.10 and apply it to their oldest PD, Invoice 511330-1. Charlie also said to me to hold off on communication with them until this CN is applied. on 12/11 the CN was generated and applied to the invoice, I relayed this to Abe. Since CN was already applied, I will continue to reach out today to Abe and Cornelia, and if no payment updates by 12/16, will enforce Pending Status. Facility has been recently improved on their paying behavior, so increase usage should not be that concerning.",Enforce PENDING Status,"12/15- Last 12/8 Catherine AE reached out to Charlie and mentioned to him about the Credit that Abe and Charlie discussed way back regarding the Extra Time Pay that was charged and tHCF were not aware, on 12/10 Charlie reached out to Abe and informed him that we will credit them $3,467.10 and apply it to their oldest PD, Invoice 511330-1. Charlie also said to me to hold off on communication with them until this CN is applied. on 12/11 the CN was generated and applied to the invoice, I relayed this to Abe. Since CN was already applied, I will continue to reach out today to Abe and Cornelia, and if no payment updates by 12/16, will enforce Pending Status",,Enforce PENDING status,Pass,Aligned,Pass,,,,,,
001Pf00000Fjh4zIAB,Covina Clhf Corporation,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Payment is in progress for the oldest invoice (517179-1). Sent pendiing notice this week for enforcement on 12/29 (since we dont pend from 12/23 - 26) if no payment is received. Continue chasing,Send PENDING notice,12/16: Sent pending notice for enforcement on 12/29. Enabled PB.,,Send PENDING notice,Pass,"The latest action from the BR was sending the pending warning by 12/16 but failed to enable the banner 12/15 since he was out. However, he failed to endorse this account so the banner can be turned on. The pending implementation should be the following Monday but we are not going to pend since the warning sent was late. For continue chasing",Pass,,,,,,
0015w00002otEwoAAE,Quinsigamond Dental - Shrewsbury,,Bad Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Recommended status and current status are aligned,KEEP ENROLLED,Keep Enrolled. No past due invoices.,,Keep enrolled,Pass,current,Pass,,,,,,
0015w00002fsWTpAAM,Hearthstone Of Beaverton,,Good Payer,,,TRUE,–,Facility is/was recommended to be re-enrolled — Why aren't they? Should they be re-enrolled?,,This HCF had chow and is already active under The Springs Living - this needs to be archived already,Keep PENDING this week,,,,,,Need decision,,,,,,
0015w00002fsKA7AAM,Ridgeview Transitional Rehabilitation,,Ok Payer,,,TRUE,–,Facility is/was recommended to be re-enrolled — Why aren't they? Should they be re-enrolled?,,"keep pending, potential escalation",KEEP PENDING,"
Keep Pending, Acc on Net 15 oldest invoice is 78 days old, no request of reinstatement has been receieved. Will continue to follow up with Darrick to get an update on payment.",,Keep PENDING this week,Pass,Aligned,Fail,,,,,,
001Pf000006qXlyIAE,Harlem Center for Aesthetic Dentistry,,Bad Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Recommended status and current status are aligned,Enforce PENDING Status,"Note: Account's oldest invoice is 20 days old.

Action plan: For pending on 12/16. I will reach out to the customer for the payment of the past due invoices. If I will not receive payment, I will proceed in submitting pending request on 12/16.",,Enforce PENDING status,Pass,Aligned,Pass,,,,,,
001Pf00000Q8SctIAF,Westside Neighborhood School,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Net15 - Oldest invoice as of 12/8 review was at 27 days 
",Working with AM,I will seek alignment with Steven Segel on 12/15 if we should send a pend notice but I would lean towards recommending that we keep the account active given their good payment record ,,Working with AM,Pass,Continue coordinating with Steven for approval and alignment,Pass,,,,,,
001Pf00000aXIkbIAG,Birch Wathen Lenox School- Middle School,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,No past due invoices ,Keep enrolled,No past due invoices ,,Keep enrolled,Pass,Account is current. Aligned to keep active.,Pass,,,,,,
0015w00002fsElrAAE,Renaissance Of Richfield,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Acc is on Net 15, oldest invoice is less than 40 days old",KEEP ENROLLED,keep enrolled as the oldest invoice is 21 days old,,Keep enrolled,Pass,<30 days,Pass,,,,,,
001Pf00000UcVMXIA3,Leo Home Health Inc.,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net15 - Oldest invoice as of 12/8 review was at 24 days ,Keep enrolled,"Since we can only pend on 12/22 (Christmas week), I will defer pend notice until 12/22 to be enforced by 12/29 but will conduct phone outreach next week ",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf000006t5sOIAQ,Dental Care of Vineland,,Bad Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Recommended status and current status are aligned,KEEP ENROLLED,"Note: Recent payment posted today

Action. Keep Enrolled. I will continue reaching out to the customer for the payment status of the remaining past due invoice.",,Keep enrolled,Pass,<30 days,Pass,,,,,,
0015w00002fsHhnAAE,Pleasant View Center,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,No past due as of 12/15. The account was at the risk of being placed on Pend on 12/16 but we received Payment Update SF case: 01790806 thus keeping the account in good standing.,Keep Active With P2P,"12/18: REMINDER send past due email
12/08: Pending notice sent ",,Keep enrolled,Pass,current,Fail,,,,,,
0015w00002GXTGiAAP,River Pointe Post Acute,,Good Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,The P2Ps have been plotted and remain enrolled. The next invoice is due on Dec 24. The delay is attributed to the Corporate Office awaiting approval/confirmation from the facility.,Keep enrolled,"P2P has been plotted to include all due and upcoming invoices, which we continue to keep enrolled.
Payment Type: check
Check Number:   #1
Check Amount:  $$6,826
Check Date : 12/10/25
Invoice number(s) applied:   514145-1 , 518780-1 ,522771-1, 526073-1",,Keep enrolled,Pass,,Pass,,,,,,
0015w000029XhvYAAS,Big Heart Home Health Care,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,net 15 - oldest past due invoice is < 40 days old ,Keep enrolled,"in 7 days, oldest invoice is < 40 days old - will send past due reminder this week.",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
0015w00002CTiFTAA1,Northstar Post Acute,,Good Payer,,,TRUE,–,Facility has $10k+ overdue with at least one invoice over 70 days past issuance date – it is headed towards ineligibles. Why?,,,Keep enrolled,This is under PACS (part of Mini-corp). Keep active. The workplace has only 1 past-due invoice. ,,Keep enrolled,Pass,,Pass,,,,,,
0015w00002c0ypWAAQ,Colonial Court Assisted Living and Memory Care,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,1 past due for $66.00. Continuet chasing,Keep enrolled,12/10: Called Kari but was unable to get through. Follow up email was sent requesting for a payment update,,Keep enrolled,Pass,,Pass,,,,,,
001Pf000007DsdBIAS,Maineville Dental,,,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Recommended status and current status are aligned,Enforce PENDING Status,"Note: Account's oldest invoice is 18 days old.

Action plan: For pending on 12/16. I will reach out to the customer for the payment of the past due invoices. If I will not receive payment, I will proceed in submitting pending request on 12/16.",,Enforce PENDING status,Pass,Aligned,Pass,,,,,,
0015w000029Xfa8AAC,Atrium Home Health Inc,,Unknown,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net15 - Oldest invoice as of 12/8 review was at 30 days ,Keep enrolled,"Per invoiced.com, the account now only has 2 past due invoice and the oldest is 23 days old thus keeping this active and will continue chasing for payments",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
0015w00002fsHxXAAU,Osage Nursing Center,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"KEEP ENROLLED, last payment 11/24. Will be at risk of Pending 12/29 is oldest invoice remains unpaid. 
Acc on NET15
2 Past Due: $9,424.95
1 Due on Dec. 16: $2,703.85
Week Total Amount Due on Dec. 16: $12,128.80
Oldest invoice from the invoiced date: 28 days old. ",KEEP ENROLLED,"KEEP ENROLLED, last payment 11/24. Will be at risk of Pending 12/29 is oldest invoice remains unpaid. 
Acc on NET15
2 Past Due: $9,424.95
1 Due on Dec. 16: $2,703.85
Week Total Amount Due on Dec. 16: $12,128.80
Oldest invoice from the invoiced date: 28 days old. ",,Keep enrolled,Pass,Aligned,Pass,,,,,,
0015w00002ABiYYAA1,Fidelity Healthcare Center,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Pend next week - now have 3 overdue invoices with the oldet being 35 days old,Send PENDING notice,12/10: Spoke with Heidy - will pay online today,,Send PENDING notice,Pass,,Pass,,,,,,
001Pf00000Rtm1JIAR,ShilohFirst Healthcare INC,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,NET15. Oldest invoice is 23 days old,Keep enrolled,I will keep the account enrolled and continue chasing for the past due invoices,,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000cAlrFIAS,Tonganoxie Terrace,,Good Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,Pend this week if no payment to invoices at 40+ days in aging,Enforce PENDING status,"12/11: paid oldest past due via direct debit and will request payment for the remaining on nxt check run. Adv of pending status ib 12/18
12/10: working on payment - will keep me posted",,Enforce PENDING status,Pass,,Pass,,,,,,
0015w00002fteR5AAI,Liberty Adult Day Health,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"The account is on Net 15 terms and has two past-due invoices. The oldest invoice is 27 days old, and the second invoice was due on 12/9 and is now 20 days old. ",Keep enrolled,Keep enrolled. No invoice is >40days old by next week. ,,Keep enrolled,Pass,"NET15, oldest inv is <40 days.",Pass,,,,,,
001Pf00000LuF0JIAV,Happy Visit Home Health,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Set for pending status by 12/18,Enforce PENDING status,Conduct phone and email outreach from Dec 15-17 and enforce status by 12/18 if no payment is made ,,Enforce PENDING status,Pass,Aligned to pend the account this week,Pass,,,,,,
0015w000029Xl3FAAS,Cogir Of Belmont,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Three oldest invoices are on P2P. Next due 12/23.,Keep enrolled,12/10: Called Michelle but was unable to get through. Follow up email was sent requesting for a payment update.,,Keep enrolled,Pass,,Pass,,,,,,
0015w00002eg1dPAAQ,The Sheridan at River Forest,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,We recently received payment. Account is now current. Net invoice is due on 12/31. ,Keep enrolled,Keep enrolled. Account is now current. Net invoice is due on 12/31.,,Keep enrolled,Pass,Facility is now listed as Sunrise of River Forest in invoiced.com with no past due invoice.,Pass,,,,,,
0015w00002osh7FAAQ,Riverside Care of Florida LLC,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,NET15. Oldest invoice is 23 days old,Keep enrolled,I will keep the account enrolled and continue chasing for the past due invoices,,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000f1MrhIAE,Lloyds Homecare Services LLC - VA,,,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,net 15 - oldest past due invoice is < 40 days old ,Keep enrolled,"in 7 days, oldest invoice is < 40 days old - will send past due reminder this week.",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000bow8LIAQ,The Westerly Pewaukee,,Unknown,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,KEEP ENROLLED. Top 3 invoices w/ P2P ETA 12/15,KEEP ENROLLED,KEEP ENROLLED. Top 3 invoices w/ P2P ETA 12/15,,Keep enrolled,Pass,Aligned,Pass,,,,,,
001Pf00000d0NCgIAM,Home Rehabilitation Healthcare,,Unknown,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net15 - Oldest invoice as of 12/8 review was at 24 days ,Keep enrolled,"Since we can only pend on 12/22 (Christmas week), I will defer pend notice until 12/22 to be enforced by 12/29 but will conduct phone outreach next week ",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf000007vOeKIAU,Brilliant Smiles Of North Plainfield,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,Recommended status and current status are aligned,KEEP ENROLLED,"Keep Active. Account is current, no past due invoices",,Keep enrolled,Pass,current,Pass,,,,,,
0015w000029XmJcAAK,Alden Estates Of Jefferson,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,,Send PENDING notice,"Context: Alden invoices are typically paid in partial payments across two batches as part of their internal process. The remaining balance for the past-due invoice for this workplace was issued in the 12/11 check run, with an expected P2P date of 12/29.

The next check run is scheduled for 12/18. Payment breakdowns are shared by EOD Friday or the following Monday. I am sending the list of unpaid and partially paid overdue invoices today to confirm the latest status and request inclusion in the 12/18 check run.",,Send PENDING notice,Pass,,Pass,,,,,,
0015w00002GvFIjAAN,Meadow View Nursing Center,,Bad Payer,,,TRUE,–,Facility has/had a high total balance — What does their weekly usage look like? Is it a concern?,,Net 30 Oldest invoice 34 days with P2P ,Keep enrolled,Check back on P2P 12/24  send reminder for next due invoice on Wednesday,,Keep enrolled,Pass,Account is current. Aligned to keep active.,Pass,,,,,,
0015w00002fsHmZAAU,Ridgecrest Village,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,net 15 - oldest past due invoice is < 40 days old ,Keep enrolled,"in 7 days, oldest invoice is < 40 days old - will send past due reminder this week.",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf000006t6snIAA,Dental Care of Stratford,,Bad Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Recommended status and current status are aligned,KEEP ENROLLED,"Keep Active. Account is now current, recent payment posted today.",,Keep enrolled,Pass,current,Pass,,,,,,
0015w00002EffTOAAZ,Thistle House Senior Living,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Acc is on Net 15, oldest invoice is less than 40 days old",KEEP ENROLLED,Acc is current,,Keep enrolled,Pass,current,Pass,,,,,,
001Pf00000HBrFNIA1,Always Best Home Health Care,,Ok Payer,,,TRUE,–,Facility is/was recommended to be re-enrolled — Why aren't they? Should they be re-enrolled?,,Did not re-enroll this account given the age of the past due invoices. 3 of the 4 past due invoices were due in November and is now 40+ days old ,Keep SUSPENDED this week,"If no payment is made , we'll proceed with the visit cancellation after 48 hours of notifying impacted HCP and will continue reaching out for payment ",,Keep SUSPENDED this week,Pass,All good with keeping the account suspended,Pass,,,,,,
0015w00002pmi4RAAQ,IDEAL HOME CARE INC,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,Set for Pending on 12/15 ,Keep enrolled,"We'll keep this enrolled, they sent us a check and we are just waiting their breakdown for us to apply the payment ",,Keep enrolled,Pass,Account is current. Aligned to keep active.,Pass,,,,,,
0015w00002ssFG4AAM,Enseguida Hospice Care Inc.,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Set for Pending on 12/17,Enforce PENDING status,Conduct phone and email outreach from Dec 15-16 and enforce status by 12/17 if no payment is made ,,Enforce PENDING status,Pass,Aligned to pend the account this week,Pass,,,,,,
0015w00002fsEiqAAE,Legacy At Cranberry Landing,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Acc is on Net 15, oldest invoice is less than 40 days old",SEND Pending Notice,Acc recently had a CHOW and is now terminated. I will follow up to close past due invoices,,Send PENDING notice,Pass,Aligned,Pass,,,,,,
001Pf000008OoAxIAK,Valley Dentists Belchertown,,,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,Recommended status and current status are aligned,KEEP ENROLLED,"Note: Account has only 1 past due invoice

Action plan: Keep active. i will monitor the acocunt and I will continue chasing for payment for the past due invoice.",,Keep enrolled,Pass,Aligned,Pass,,,,,,
