WORKSTREAM GENERATED ON:,DATE at TIME: 12/10/25  6:10am PST,,,,,,,,,,,,,,,,,,,,,,
0015w00002iotJlAAI,Haven Care - Evergreen House,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,"We will keep them Enrolled. We are managing a critical escalation, and the CEO Tim  is upset because a CBH worker’s actions led to two tenants leaving Birch HCF and a potential negligence lawsuit. ZD Ticket #16665241, Urgent: Cassidy Thomas Incident – Required Action and Documentation.

As of 12/12 Matt confirmed we can proceed with collection as normal.  If they sign the release and are entitled to a credit, we can apply the credit after they sign. We'll removed the invoices covered by Oct 13, total past due $2,775.04  in my outreach which was discussed covered in the offer here, and here.  

As of 12/8 Consulted TL Shella, if we can proceed with intervention. She advised that we wait for Carlos’ response before moving forward, as we want to avoid creating any additional friction with Tim. Slacked Carlos on release of liability receipt progress. 

As of 12/1 Matt's refer me to wait for Carlos, but no update if release of liability is received. Given the Prev - week's Thanksgiving, I planned to follow-up the following week. 

As of 11/24 Matt's advised we can proceed with billing as normal. Will initiate contact this week, just need to check first with Carlos, if he received the release of liability so we are align with the approach. Slack. Next action will depend on Tims response, we will consult managers, and Matt if we are ok to push with hold action, due to the sensitivity of the escalation. 

As of 11/24 Matt: @Sun We can proceed with billing as normal today for Haven.  Let's wait for @Carlos C to confirm that he didn't receive the liability release over the weekend.  That won't change whether we should proceed with billing.  It would only change the amount.
@Carlos C Can you confirm that when it's less disgustingly early on the West Coast?
Matt: We've given them plenty of time.  Unless anyone disagrees, I think we can proceed with billing as normal.  That doesn't prevent further discussion.  It just makes clear that we cannot extend deadlines indefinitely.

As of  11/10: Matt: Haven followed up with Carlos late last week asking for us to provide some records to the nursing house surveyor's office in NM.  I should be able to send that this week (the surveyor reached out to Clipboard separately); the holdup currently is a discrepancy between in-app and in-metabase record.
Once I've submitted that, @Carlos C will let Tim know that we need the release back within 5 business days, or we need to lift all holds on billings.  I know that this has moved slowly at times, and I appreciate your patience.  My read is that we continue to better off with Haven not feeling a ton of urgency from us.  I don't want Haven to misinterpret urgency for fear.  I think they're more likely to sign if they don't think we're overly concerned.

As of 11/3: Matt: @Carlos C has/will send Tim our responses to their requests.  Some of them we could accommodate; others not.  Hopefully, we'll have an answer this week, but that's likely going to depend upon how quickly Haven responds.

As of 10/24  @Matt Orlins waiting for Carlos C meeting with Tim for liability release? Then we can decide on CN for compensation.  HOLD Pending action for now due to T&S incident, slack. irate cx.

SMALL AR. Matt Orlins, advised on Tuesday, 10/7, They've reviewed the letter.  @Mike Bryan responded last week, acknowledging receipt and sharing that we would get back to them after we had a chance to review it.  The letter itself asks for documentation by October 10, so we're still a few days ahead of that. Their contention that Clipboard is responsible for their losses is questionable for several reasons.  To the extent that we want to help them, we probably ought to frame it as providing good customer service rather than acknowledging (legal) responsibility here. @Carlos C is going to reach out to the facility.  Until he does, I would avoid offering the facility credit for any other shifts.  I'd probably stick to extensions.  That will give Carlos a little more to play with on the call in terms of potential resolutions.

NET30
4 Past Due $1,411.72
Oldest Invoice from invoiced date: 112 days old. 
FBS/FPS:0

Historically: 
Extension to considering strong intent to pay, Tim responded in  SF01773123, Past due invoices are approved for payment just waiting funding, he is agreed for Pend action if still no payment by extension date. 
Oldest Invoice from invoiced date: 112 days old. Got a dispute - CNA to Crgvr rate ",KEEP ENROLLED,"We will keep them Enrolled. We are managing a critical escalation, and the CEO Tim  is upset because a CBH worker’s actions led to two tenants leaving Birch HCF and a potential negligence lawsuit. ZD Ticket #16665241, Urgent: Cassidy Thomas Incident – Required Action and Documentation.

As of 12/12 Matt confirmed we can proceed with collection as normal.  If they sign the release and are entitled to a credit, we can apply the credit after they sign. We'll removed the invoices covered by Oct 13, total past due $2,775.04  in my outreach which was discussed covered in the offer here, and here.  

As of 12/8 Consulted TL Shella, if we can proceed with intervention. She advised that we wait for Carlos’ response before moving forward, as we want to avoid creating any additional friction with Tim. Slacked Carlos on release of liability receipt progress. 

As of 12/1 Matt's refer me to wait for Carlos, but no update if release of liability is received. Given the Prev - week's Thanksgiving, I planned to follow-up the following week. 

As of 11/24 Matt's advised we can proceed with billing as normal. Will initiate contact this week, just need to check first with Carlos, if he received the release of liability so we are align with the approach. Slack. Next action will depend on Tims response, we will consult managers, and Matt if we are ok to push with hold action, due to the sensitivity of the escalation. 

As of 11/24 Matt: @Sun We can proceed with billing as normal today for Haven.  Let's wait for @Carlos C to confirm that he didn't receive the liability release over the weekend.  That won't change whether we should proceed with billing.  It would only change the amount.
@Carlos C Can you confirm that when it's less disgustingly early on the West Coast?
Matt: We've given them plenty of time.  Unless anyone disagrees, I think we can proceed with billing as normal.  That doesn't prevent further discussion.  It just makes clear that we cannot extend deadlines indefinitely.

As of  11/10: Matt: Haven followed up with Carlos late last week asking for us to provide some records to the nursing house surveyor's office in NM.  I should be able to send that this week (the surveyor reached out to Clipboard separately); the holdup currently is a discrepancy between in-app and in-metabase record.
Once I've submitted that, @Carlos C will let Tim know that we need the release back within 5 business days, or we need to lift all holds on billings.  I know that this has moved slowly at times, and I appreciate your patience.  My read is that we continue to better off with Haven not feeling a ton of urgency from us.  I don't want Haven to misinterpret urgency for fear.  I think they're more likely to sign if they don't think we're overly concerned.

As of 11/3: Matt: @Carlos C has/will send Tim our responses to their requests.  Some of them we could accommodate; others not.  Hopefully, we'll have an answer this week, but that's likely going to depend upon how quickly Haven responds.

As of 10/24  @Matt Orlins waiting for Carlos C meeting with Tim for liability release? Then we can decide on CN for compensation.  HOLD Pending action for now due to T&S incident, slack. irate cx.

SMALL AR. Matt Orlins, advised on Tuesday, 10/7, They've reviewed the letter.  @Mike Bryan responded last week, acknowledging receipt and sharing that we would get back to them after we had a chance to review it.  The letter itself asks for documentation by October 10, so we're still a few days ahead of that. Their contention that Clipboard is responsible for their losses is questionable for several reasons.  To the extent that we want to help them, we probably ought to frame it as providing good customer service rather than acknowledging (legal) responsibility here. @Carlos C is going to reach out to the facility.  Until he does, I would avoid offering the facility credit for any other shifts.  I'd probably stick to extensions.  That will give Carlos a little more to play with on the call in terms of potential resolutions.

NET30
4 Past Due $1,411.72
Oldest Invoice from invoiced date: 112 days old. 
FBS/FPS:0

Historically: 
Extension to considering strong intent to pay, Tim responded in  SF01773123, Past due invoices are approved for payment just waiting funding, he is agreed for Pend action if still no payment by extension date. 
Oldest Invoice from invoiced date: 112 days old. Got a dispute - CNA to Crgvr rate ",,Working with AM,Pass,Keep monitoring,Fail,,,,,,
0015w00002POhSjAAL,Cumberland Crossing Manor,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,The account is on Net 15 terms and has one past-due invoice with P2P. The account is now current. The next invoice is due on 12/16.,Keep enrolled,Keep enrolled. Account is now current. Net invoice is due on 12/16.,,Keep enrolled,Pass,Account is current.,Pass,,,,,,
0015w000029Xl1FAAS,Cogir Of Sonoma Plaza,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Account is current. All open invoices have been paid.,Keep enrolled,"12/11: Called Kim but was unable to get through. Left vm. Follow up email was sent requesting for a payment update.
12/9: Called Kim for a payment update but was unable to connect. Left Vm. Next ff up 12/10.
12/8: Sent a pending notice for enforcement on 12/16 if no payment is received. Enabled PB. Continue chasing.
",,Keep enrolled,Pass,,Pass,,,,,,
0015w00002G59HYAAZ,Stephenson Nursing Center,,Bad Payer,,,TRUE,–,Facility has $10k+ overdue with at least one invoice over 70 days past issuance date – it is headed towards ineligibles. Why?,,keep pending ,KEEP PENDING,Speak to JK to get more info on this account about the court date and reach out today,,Keep PENDING this week,Pass,Aligned,Fail,,,,,,
001Pf00000LuCs7IAF,Santa Barbara Home Health Inc,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net15 - Oldest invoice as of 12/8 review was at 24 days ,Keep enrolled,"Since we can only pend on 12/22 (Christmas week), I will defer pend notice until 12/22 to be enforced by 12/29 but will conduct phone outreach next week ",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
0015w00002plNXpAAM,Alden Village,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,,Send PENDING notice,"Context: Alden invoices are typically paid in partial payments across two batches as part of their internal process. The remaining balance for the past-due invoice for this workplace was issued in the 12/11 check run, with an expected P2P date of 12/29.

The next check run is scheduled for 12/18. Payment breakdowns are shared by EOD Friday or the following Monday. I am sending the list of unpaid and partially paid overdue invoices today to confirm the latest status and request inclusion in the 12/18 check run.",,Send PENDING notice,Pass,,Pass,,,,,,
0015w00002iotKTAAY,Haven Care - Fir House,,Bad Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,"We will keep them Enrolled. We are managing a critical escalation, and the CEO Tim  is upset because a CBH worker’s actions led to two tenants leaving Birch HCF and a potential negligence lawsuit. ZD Ticket #16665241, Urgent: Cassidy Thomas Incident – Required Action and Documentation.

As of 12/12 Matt confirmed we can proceed with collection as normal.  If they sign the release and are entitled to a credit, we can apply the credit after they sign. We'll removed the invoices covered by Oct 13, total past due $2,775.04  in my outreach which was discussed covered in the offer here, and here.  

As of 12/8 Consulted TL Shella, if we can proceed with intervention. She advised that we wait for Carlos’ response before moving forward, as we want to avoid creating any additional friction with Tim. Slacked Carlos on release of liability receipt progress. 

As of 12/1 Matt's refer me to wait for Carlos, but no update if release of liability is received. Given the Prev - week's Thanksgiving, I planned to follow-up the following week. 

As of 11/24 Matt's advised we can proceed with billing as normal. Will initiate contact this week, just need to check first with Carlos, if he received the release of liability so we are align with the approach. Slack. Next action will depend on Tims response, we will consult managers, and Matt if we are ok to push with hold action, due to the sensitivity of the escalation. 

As of 11/24 Matt: @Sun We can proceed with billing as normal today for Haven.  Let's wait for @Carlos C to confirm that he didn't receive the liability release over the weekend.  That won't change whether we should proceed with billing.  It would only change the amount.
@Carlos C Can you confirm that when it's less disgustingly early on the West Coast?
Matt: We've given them plenty of time.  Unless anyone disagrees, I think we can proceed with billing as normal.  That doesn't prevent further discussion.  It just makes clear that we cannot extend deadlines indefinitely.

As of  11/10: Matt: Haven followed up with Carlos late last week asking for us to provide some records to the nursing house surveyor's office in NM.  I should be able to send that this week (the surveyor reached out to Clipboard separately); the holdup currently is a discrepancy between in-app and in-metabase record.
Once I've submitted that, @Carlos C will let Tim know that we need the release back within 5 business days, or we need to lift all holds on billings.  I know that this has moved slowly at times, and I appreciate your patience.  My read is that we continue to better off with Haven not feeling a ton of urgency from us.  I don't want Haven to misinterpret urgency for fear.  I think they're more likely to sign if they don't think we're overly concerned.

As of 11/3: Matt: @Carlos C has/will send Tim our responses to their requests.  Some of them we could accommodate; others not.  Hopefully, we'll have an answer this week, but that's likely going to depend upon how quickly Haven responds.

As of 10/24  @Matt Orlins waiting for Carlos C meeting with Tim for liability release? Then we can decide on CN for compensation.  HOLD Pending action for now due to T&S incident, slack. irate cx.

SMALL AR. Matt Orlins, advised on Tuesday, 10/7, They've reviewed the letter.  @Mike Bryan responded last week, acknowledging receipt and sharing that we would get back to them after we had a chance to review it.  The letter itself asks for documentation by October 10, so we're still a few days ahead of that. Their contention that Clipboard is responsible for their losses is questionable for several reasons.  To the extent that we want to help them, we probably ought to frame it as providing good customer service rather than acknowledging (legal) responsibility here. @Carlos C is going to reach out to the facility.  Until he does, I would avoid offering the facility credit for any other shifts.  I'd probably stick to extensions.  That will give Carlos a little more to play with on the call in terms of potential resolutions.

NET30
4 Past Due $1,411.72
Oldest Invoice from invoiced date: 112 days old. 
FBS/FPS:0

Historically: 
Extension to considering strong intent to pay, Tim responded in  SF01773123, Past due invoices are approved for payment just waiting funding, he is agreed for Pend action if still no payment by extension date. 
Oldest Invoice from invoiced date: 112 days old. Got a dispute - CNA to Crgvr rate ",KEEP ENROLLED,"We will keep them Enrolled. We are managing a critical escalation, and the CEO Tim  is upset because a CBH worker’s actions led to two tenants leaving Birch HCF and a potential negligence lawsuit. ZD Ticket #16665241, Urgent: Cassidy Thomas Incident – Required Action and Documentation.

As of 12/12 Matt confirmed we can proceed with collection as normal.  If they sign the release and are entitled to a credit, we can apply the credit after they sign. We'll removed the invoices covered by Oct 13, total past due $2,775.04  in my outreach which was discussed covered in the offer here, and here.  

As of 12/8 Consulted TL Shella, if we can proceed with intervention. She advised that we wait for Carlos’ response before moving forward, as we want to avoid creating any additional friction with Tim. Slacked Carlos on release of liability receipt progress. 

As of 12/1 Matt's refer me to wait for Carlos, but no update if release of liability is received. Given the Prev - week's Thanksgiving, I planned to follow-up the following week. 

As of 11/24 Matt's advised we can proceed with billing as normal. Will initiate contact this week, just need to check first with Carlos, if he received the release of liability so we are align with the approach. Slack. Next action will depend on Tims response, we will consult managers, and Matt if we are ok to push with hold action, due to the sensitivity of the escalation. 

As of 11/24 Matt: @Sun We can proceed with billing as normal today for Haven.  Let's wait for @Carlos C to confirm that he didn't receive the liability release over the weekend.  That won't change whether we should proceed with billing.  It would only change the amount.
@Carlos C Can you confirm that when it's less disgustingly early on the West Coast?
Matt: We've given them plenty of time.  Unless anyone disagrees, I think we can proceed with billing as normal.  That doesn't prevent further discussion.  It just makes clear that we cannot extend deadlines indefinitely.

As of  11/10: Matt: Haven followed up with Carlos late last week asking for us to provide some records to the nursing house surveyor's office in NM.  I should be able to send that this week (the surveyor reached out to Clipboard separately); the holdup currently is a discrepancy between in-app and in-metabase record.
Once I've submitted that, @Carlos C will let Tim know that we need the release back within 5 business days, or we need to lift all holds on billings.  I know that this has moved slowly at times, and I appreciate your patience.  My read is that we continue to better off with Haven not feeling a ton of urgency from us.  I don't want Haven to misinterpret urgency for fear.  I think they're more likely to sign if they don't think we're overly concerned.

As of 11/3: Matt: @Carlos C has/will send Tim our responses to their requests.  Some of them we could accommodate; others not.  Hopefully, we'll have an answer this week, but that's likely going to depend upon how quickly Haven responds.

As of 10/24  @Matt Orlins waiting for Carlos C meeting with Tim for liability release? Then we can decide on CN for compensation.  HOLD Pending action for now due to T&S incident, slack. irate cx.

SMALL AR. Matt Orlins, advised on Tuesday, 10/7, They've reviewed the letter.  @Mike Bryan responded last week, acknowledging receipt and sharing that we would get back to them after we had a chance to review it.  The letter itself asks for documentation by October 10, so we're still a few days ahead of that. Their contention that Clipboard is responsible for their losses is questionable for several reasons.  To the extent that we want to help them, we probably ought to frame it as providing good customer service rather than acknowledging (legal) responsibility here. @Carlos C is going to reach out to the facility.  Until he does, I would avoid offering the facility credit for any other shifts.  I'd probably stick to extensions.  That will give Carlos a little more to play with on the call in terms of potential resolutions.

NET30
4 Past Due $1,411.72
Oldest Invoice from invoiced date: 112 days old. 
FBS/FPS:0

Historically: 
Extension to considering strong intent to pay, Tim responded in  SF01773123, Past due invoices are approved for payment just waiting funding, he is agreed for Pend action if still no payment by extension date. 
Oldest Invoice from invoiced date: 112 days old. Got a dispute - CNA to Crgvr rate ",,Working with AM,Pass,Keep monitoring,Fail,,,,,,
0015w00002fsWXhAAM,Meadow Creek Village Assisted Living,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net 15. Reminder sent last week. Account is now current. ,Keep enrolled,Next invoice is due on the 23rd. Remind HCF when invoice becomes past due. HCF pays in bulk. ,,Keep enrolled,Pass,Account is current. Aligned to keep active.,Pass,,,,,,
001Pf000006t43EIAQ,Dental Care of Brigantine,,Bad Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Recommended status and current status are aligned,KEEP ENROLLED,"Note: Recent payment posted today

Action. Keep Enrolled. I will continue reaching out to the customer for the payment status of the remaining past due invoice.",,Keep enrolled,Pass,<30 days,Pass,,,,,,
001Pf00000LfbqoIAB,"Glory Home Health Care Management, Inc.",,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,all past due invoices are short paid and was advised by mary that some has disputes to be filled. ,Send PENDING notice,"net 15, invoice 506691-1 is 66 days old and 536790-1 is currently 10 days old. will send pend notice since invoice 536790-1 will be due in 7 days. other past due invoices has dispute and short paid. ",,Send PENDING notice,Pass,"Aligned to send pend notice today for strict implementation on 12/22.

As for the short-paid invoices, do you have any update on these? They are still outstanding. Please proactively update this thread for any progress made - https://clipboardhealth.slack.com/archives/C04D98T3WR2/p1765831283948889?thread_ts=1765398374.226579&cid=C04D98T3WR2 ",Pass,,,,,,
0015w00002fsJV5AAM,La Belle Manor Care Center,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Acc is on Net 15, oldest invoice is less than 40 days old",KEEP ENROLLED,Keep enrolled as oldest invoice is only 27 days old,,Keep enrolled,Pass,<30 days,Pass,,,,,,
0015w00002V7jy3AAB,Monsignor Bojnowski Manor,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net 15- Oldest INV < 40 days old,SEND Pending Notice,12/15 sent pend notice and chase for payment this week,,Send PENDING notice,Pass,Aligned,Pass,,,,,,
001Pf00000HjH1JIAV,Nevada Adult Day Healthcare Centers At Decatur,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Oldest invoices is 28 days old - continue chasing this week,Keep enrolled,12/12 sent payment reminder email,,Keep enrolled,Pass,,Pass,,,,,,
0015w000029XfHcAAK,"Omnicare Home Health, Inc",,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,The past due invoices were revised after disputes were resolved this week,Keep enrolled,Send payment reminder and follow up on the revised past due invoices ,,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
0015w00002fsQyeAAE,Legend Of Allentown,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,oldest inv is 22 days old. keep enrolled,KEEP ENROLLED, Acc is on net 15 oldest inv is 27 days old. keep enrolled,,Keep enrolled,Pass,<30 days,Pass,,,,,,
001Pf00000ZP413IAD,N&C's Developmental Playground,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,NET1. Oldest invoice is 6 days old,Keep enrolled,The center made a payment last week 12/10. I will continue to remind them to pay the remaining past due invoice.,,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000eW0txIAC,Elite Service Home Health Agency,,,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,net 15 - oldest past due invoice is < 40 days old ,Send PENDING notice,"in 7 days, oldest invoice is > 40 days old - will send pend notice.",,Send PENDING notice,Pass,Aligned to send pend notice today for strict implementation on 12/22,Pass,,,,,,
001Pf00000S1o9NIAR,Havens Assisted Living LLC,,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,"Acc is on Net 30, missed out on sending a pend notice. Will send one today to ensure recommended status aligns with current status",KEEP ENROLLED,P2P plotted for the oldest invoices. Acc is current,,Keep enrolled,Pass,Monitor P2Ps,Pass,,,,,,
0015w000029Xi4CAAS,The Residence At Boylston Place,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"The account is on Net 15 terms and has three past-due invoices. The oldest invoice is 34 days old. Keep enrolled this week, but send a pending notice for 12/23 implementation. ",Send PENDING notice,Send pending notice for 12/22 implementation,,Send PENDING notice,Pass,I agree we should send a pending notice today for enforcement on 12/22. Account now has 3 past due invoices with oldet invoice at 34 days old.,Pass,,,,,,
0015w000029YKO0AAO,Vista Del Mar Senior Living,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net 15. Facility is current,Keep enrolled,Send reminder on Wednesday,,Keep enrolled,Pass,Account is current. Aligned to keep active.,Pass,,,,,,
001Pf00000TtTK3IAN,Valiant Hospice Care,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Set for Pending on 12/17,Enforce PENDING status,Conduct phone and email outreach from Dec 15-16 and enforce status by 12/17 if no payment is made ,,Enforce PENDING status,Pass,Aligned to pend the account this week,Pass,,,,,,
001Pf00000El38rIAB,Palmdale Congregate Living,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net 15 2 past dues invoices Oldest invoice 34 days,Send PENDING notice,Send pending notice today,,Send PENDING notice,Pass,Aligned to send pend notice today for strict implementation on 12/22,Pass,,,,,,
0015w000029XgCSAA0,"Holy Angel Home Health Care, Inc",,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net15 - Oldest invoice as of 12/8 review was at 24 days ,Keep enrolled,"Since we can only pend on 12/22 (Christmas week), I will defer pend notice until 12/22 to be enforced by 12/29 but will conduct phone outreach next week ",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000Lu5H8IAJ,Accent Home Health Inc,,Ok Payer,,,TRUE,–,Facility is/was recommended to be re-enrolled — Why aren't they? Should they be re-enrolled?,,Account was kept on pending status despite getting paid due to the ongoing process of confirming new ownership with inhome sales as well as T & S team as there was a fraud concern on who owns the account now,Re-enroll,Will re-enroll the account once the new contract is signed and completed,,Re-enroll,Pass,Aligned to reactivate the acount as soon as new contract is signed and settled.,Pass,,,,,,
0015w00002mk7S0AAI,Green Valley Health And Wellness Suites,,Good Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,p2p logged on two past-due invoices,Keep enrolled,"12/11: final reminder sent about the account hold
12/10: f/u email sent regarding top two aging
12/8: F/U email sent on the status of two oldest invocies
12/5: reconciled payments, credits, and invoices billed. 
12/1: AP is waiting for an update from the corp
11/28: provided clarification about the application of credits",,Keep enrolled,Pass,,Pass,,,,,,
001Pf00000OOpgVIAT,The Waterford At Decatur,,Very Bad Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,This account was recently reassigned to me effectve 12/9. The account is on Net 30 terms and has three past-due invoices. The oldest invoice is 83 days old and is scheduld to be moved to pending status on 12/16 if payment update is not provided by then. ,Enforce PENDING status,Pend account if payment update is not provided by 12/16. ,,Enforce PENDING status,Pass,"I agree that we should pend this account if payment is still not made by tomorrow (NET30, 3 past due invoices, oldest invoice is of low balance).",Pass,,,,,,
001Pf00000PN2acIAD,Abington Manor,,Bad Payer,,,TRUE,–,Facility has $10k+ overdue with at least one invoice over 70 days past issuance date – it is headed towards ineligibles. Why?,,"12/11- Daniel spoke with Avery, CFO and negotiated the payment agreement language. DW then applied the agreed revisions and sent the updated version for their review.
Kelly said she will keep the thread updated as we go.
12/8 - Last 12/5, Legal connected with Avery to finalize acceptance of PA terms. Sent PA 12/4, requested review, and to finalize by 12/8. Kelly will follow up  on 12/8",Endorse to Escalated Collections ,"12/11- Daniel spoke with Avery, CFO and negotiated the payment agreement language. DW then applied the agreed revisions and sent the updated version for their review.
Kelly said she will keep the thread updated as we go.
12/8 - Last 12/5, Legal connected with Avery to finalize acceptance of PA terms. Sent PA 12/4, requested review, and to finalize by 12/8. Kelly will follow up  on 12/8",,Endorse to Escalated Collections,Pass,Monitor progress with Kelly,Fail,,,,,,
001Pf00000NCk6kIAD,"Zirra Hospice Care, Inc",,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Set for pending status by 12/18,Enforce PENDING status,"If the check details are not shared / the payment is not received, will enforce the pending status on 12/18",,Enforce PENDING status,Pass,Aligned to pend the account this week,Pass,,,,,,
001Pf00000GzmpjIAB,A Brighter Day Brandy House,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Net 15 2 past due invoice oldest 27 days,Keep enrolled,Send reminder on Wednesday,,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000ZwMgkIAF,"Hope Group Home Care Agency, LLC",,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,net 15 - oldest past due invoice is < 40 days old ,Keep enrolled,"in 7 days, oldest invoice is < 40 days old - will send past due reminder this week.",,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000T6QTqIAN,Santa Fe Post Acute,,Good Payer,,,TRUE,–,Facility has/had a high total balance — What does their weekly usage look like? Is it a concern?,,"Enrollment is maintained, with the next invoice scheduled for Dec 24. They have a strong payment record, though we keep a close watch given their significant use of our services.",Keep enrolled,"We keep them enrolled - Next Invoice Due Date: Dec 24

NOTE: Will closely monitor, given their high service usage.",,Keep enrolled,Pass,,Pass,,,,,,
0015w00002fsJDmAAM,Ellen Memorial Health Care Center,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"Acc is on Net 15, oldest invoice is less than 40 days old",KEEP ENROLLED,  chase for payment this week. Account recently had a change of ownership and a new account is to be created under new ownership. Will follow up to get payment update and closely monitor the account. P2p plotted for oldest two invoices.,,Keep enrolled,Pass,<30 days and monitor P2Ps,Pass,,,,,,
001Pf000006qYpSIAU,"Deborah A Struckmeier, DMD",,Ok Payer,,,TRUE,–,"Current status ≠ recommended status — Why? Should the current status change, or should we update a field somewhere to account for the discrepancy?",,Recommended status and current status are aligned,SEND Pending Notice,"Note: Oldest invoice is on Pending Payment

Action plan: Keep active this week. i will continue chasing for payment and will send Pending notice effective 12/23 if we will not receive payment udpate this week.",,Send PENDING notice,Pass,Aligned,Pass,,,,,,
001Pf00000Lu80UIAR,"Above Care Home Health, Inc",,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Set for pending on 12/15 ,Enforce PENDING status,I'll request to defer pend action date to 12/17 as per the owner's request and commitment to pay all 6 past due by 12/17,,Enforce PENDING status,Pass,Aligned to pend the account this week,Pass,,,,,,
0015w000029Xh3BAAS,Plymouth Harborside Healthcare,,Good Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,"The account is on Net 15 terms and has two past-due invoices. The oldest invoice is 27 days old, and the second invoice was due on 12/9 and is now 20 days old. ",Keep enrolled,Keep enrolled. No invoice is >40days old by next week. ,,Keep enrolled,Pass,"NET15, oldest inv is <40 days.",Pass,,,,,,
001Pf00000VGaleIAD,Advance Learning Academy,,Unknown,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,net 15 - oldest past due invoice is < 40 days old ,Keep enrolled,only 1 past due invocie - will send pend notice.,,Keep enrolled,Pass,Aligned to keep account active,Pass,,,,,,
001Pf00000Q0AV5IAN,The Angels Of Haven Hospice Care Inc,,Ok Payer,,,TRUE,–,Facility is/was enrolled with 2+ overdue invoices — Why?,,Set for pending status by 12/18,Enforce PENDING status,"Outreach from Dec 15-17 and if unpaid, will enforce pending by 12/18",,Enforce PENDING status,Pass,Aligned to pend the account this week,Pass,,,,,,