,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account Criticality WoW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/25/2024,4/1/2024,4/8/2024,4/15/2024,4/22/2024,4/29/2024,5/6/2024,5/13/2024,5/20/2024,5/27/2024,6/4/2024,6/11/2024,6/18/2024,6/25/2024,7/2/2024,7/9/2024,7/16/2024,7/23/2024,7/30/2024,8/6/2024,8/13/2024,8/20/2024,8/27/2024,9/4/2024,9/10/2024,9/17/2024,9/24/2024,10/1/2024,10/8/2024,10/15/2024,10/22/2024,10/29/2024,11/5/2024,11/12/2024,11/19/2024,11/26/2024,12/3/2024,12/10/2024,12/17/2024,12/24/2024,12/31/2024
,Critical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,2
,High,4,1,4,4,3,3,3,2,5,4,3,1,3,3,2,2,3,2,1,1,4,0,3,0,3,2,4,3,4,4,3,6,4,4,4,4,6,3,8,7,7
,Medium,11,16,13,15,11,17,13,17,15,19,19,20,22,27,18,23,19,16,13,11,12,13,13,13,12,11,12,14,17,12,19,18,17,22,22,19,15,21,20,23,23
,Low,30,41,44,37,39,27,37,34,36,31,26,29,22,21,19,10,8,15,17,12,15,9,15,14,16,11,18,12,11,21,32,29,32,30,28,29,31,28,25,22,22
,Total,45,58,61,56,54,47,53,53,56,54,48,50,47,51,39,36,30,33,31,24,31,22,31,27,31,24,34,29,32,37,55,53,54,56,54,53,53,53,54,52,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moved Out,0,4,5,6,1,3,5,2,7,4,7,3,5,0,9,6,4,2,4,2,3,3,3,3,3,2,3,5,1,0,8,6,1,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Critical,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,2%,0%,0%,2%,2%,2%,2%,0%,4%
,High,9%,2%,7%,7%,6%,6%,6%,4%,9%,7%,6%,2%,6%,6%,5%,6%,10%,6%,3%,4%,13%,0%,10%,0%,10%,8%,12%,10%,13%,11%,5%,11%,7%,7%,7%,8%,11%,6%,15%,13%,13%
,Medium,24%,28%,21%,27%,20%,36%,25%,32%,27%,35%,40%,40%,47%,53%,46%,64%,63%,48%,42%,46%,39%,59%,42%,48%,39%,46%,35%,48%,53%,32%,35%,34%,31%,39%,41%,36%,28%,40%,37%,44%,43%
,Low,67%,71%,72%,66%,72%,57%,70%,64%,64%,57%,54%,58%,47%,41%,49%,28%,27%,45%,55%,50%,48%,41%,48%,52%,52%,46%,53%,41%,34%,57%,58%,55%,59%,54%,52%,55%,58%,53%,46%,42%,41%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# of Accounts Moved Out of Parent Account Pod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/25/2024,4/1/2024,4/8/2024,4/15/2024,4/22/2024,4/29/2024,5/6/2024,5/13/2024,5/20/2024,5/27/2024,6/4/2024,6/11/2024,6/18/2024,6/25/2024,7/2/2024,7/9/2024,7/16/2024,7/23/2024,7/30/2024,8/6/2024,8/13/2024,8/20/2024,8/27/2024,9/4/2024,9/10/2024,9/17/2024,9/24/2024,10/1/2024,10/8/2024,10/15/2024,10/22/2024,10/29/2024,11/5/2024,11/12/2024,11/19/2024,11/26/2024,12/3/2024,12/10/2024,12/17/2024,12/24/2024,12/31/2024
,# of Accounts in Parent Pod,47,60,61,62,62,59,55,54,56,54,50,51,50,48,44,42,41,43,43,50,49,44,48,44,49,57,57,51,59,63,59,58,60,61,59,60,59,60,62,64,68
,# of Accounts Moved Out (Good Standing),0,3,5,6,5,6,5,2,7,4,7,3,5,4,8,7,5,2,5,2,6,7,3,4,3,3,5,10,0,1,8,6,1,1,3,3,2,0,0,1,0